complex_id,month,day_group,ridership
428,1,weekday,145997.5
428,1,weekend,25179.0
429,1,total,114102.0
429,1,weekday,97108.0
429,1,weekend,16994.0
430,1,total,209737.0
430,1,weekday,177851.5
430,1,weekend,31885.5
431,1,total,78416.0
431,1,weekday,67324.0
431,1,weekend,11092.0
432,1,total,177102.5
432,1,weekday,150498.0
432,1,weekend,26604.5
433,1,total,131740.5
433,1,weekday,112981.0
433,1,weekend,18759.5
434,1,total,561386.0
434,1,weekday,483659.0
434,1,weekend,77727.0
436,1,total,95005.0
436,1,weekday,82060.0
436,1,weekend,12945.0
437,1,total,73361.0
437,1,weekday,64989.0
437,1,weekend,8372.0
438,1,total,355095.5
438,1,weekday,302166.0
438,1,weekend,52929.5
439,1,total,366505.5
439,1,weekday,307836.5
439,1,weekend,58669.0
440,1,total,272821.5
440,1,weekday,229182.5
440,1,weekend,43639.0
441,1,total,210900.5
441,1,weekday,178547.5
441,1,weekend,32353.0
442,1,total,105330.5
442,1,weekday,99083.0
442,1,weekend,6247.5
443,1,total,82469.5
443,1,weekday,76921.5
443,1,weekend,5548.0
444,1,total,123498.5
444,1,weekday,115043.0
444,1,weekend,8455.5
445,1,total,70434.5
445,1,weekday,67102.5
445,1,weekend,3332.0
446,1,total,55840.5
446,1,weekday,52708.0
446,1,weekend,3132.5
447,1,total,1428687.5
447,1,weekday,1184598.5
447,1,weekend,244089.0
448,1,total,59932.5
448,1,weekday,52131.0
448,1,weekend,7801.5
449,1,total,285640.5
449,1,weekday,234141.0
449,1,weekend,51499.5
450,1,total,506755.5
450,1,weekday,414062.0
