puma,month,entries,exits
4402,5,3763078.3333333335,2926246.0
4402,6,3556463.3333333335,2799985.0
4402,7,3379450.3333333335,2645230.3333333335
4402,8,3378222.0,2690946.666666667
4402,9,3537042.0,2793958.6666666665
4402,10,3804047.6666666665,2977714.0
4402,11,3436359.666666667,2696230.6666666665
4402,12,3253254.0,2589004.6666666665
4403,1,1117861.0,847982.3333333333
4403,2,1049365.0,809538.0
4403,3,1155116.0,887511.6666666667
4403,4,1168054.6666666667,906307.3333333334
4403,5,1244684.0,942841.3333333334
4403,6,1184561.6666666667,904031.6666666666
4403,7,1155963.6666666665,889116.0
4403,8,1165375.3333333333,905704.6666666667
4403,9,1169362.6666666667,905165.0
4403,10,1270155.0,940455.6666666667
4403,11,1188616.3333333333,874826.3333333333
4403,12,1137691.3333333335,868621.3333333334
4404,1,4416958.666666667,3280439.0
4404,2,4125727.3333333335,3083755.666666667
4404,3,4708912.0,3518217.3333333335
4404,4,4703709.0,3562270.333333333
4404,5,4978165.0,3772345.0
4404,6,4766404.0,3630247.0
4404,7,4563469.333333334,3504713.0
4404,8,4798745.0,3644274.6666666665
4404,9,4762990.333333333,3595317.333333333
4404,10,4888967.666666667,3759041.666666667
4404,11,4574102.666666666,3501278.3333333335
4404,12,4523916.333333333,3439695.0
4405,1,533535.3333333334,447005.0
4405,2,516826.6666666667,434792.3333333333
4405,3,570934.3333333334,475524.0
4405,4,535759.6666666666,440911.3333333333
4405,5,631036.6666666667,530408.3333333334
4405,6,604947.0,506979.0
4405,7,463078.3333333334,382586.6666666667
4405,8,474481.3333333333,390560.6666666667
4405,9,552946.6666666666,467268.6666666666
4405,10,607591.3333333333,515735.0
4405,11,558192.0,471571.0
4405,12,522532.6666666667,437671.3333333333
4406,1,1404216.0,627003.6666666667
4406,2,1300517.3333333335,593761.3333333333
4406,3,1492501.3333333335,674495.0
4406,4,1420810.0,642993.0
4406,5,1513511.3333333333,691056.6666666667
4406,6,1437797.6666666667,658439.3333333333
4406,7,1437486.0,643030.3333333333
4406,8,1396033.6666666665,639901.3333333333
4406,9,1380098.6666666665,625184.6666666666
4406,10,1519830.6666666665,706093.6666666666
4406,11,1410566.3333333335,648347.3333333334
4406,12,1385132.0,629401.3333333334
4407,1,1466044.3333333333,1186619.6666666667
4407,2,1385065.0,1135964.0
4407,3,1541776.6666666667,1254416.6666666667
4407,4,1486495.3333333333,1214586.3333333333
4407,5,1613330.0,1308191.0
4407,6,1554325.0,1275877.0
4407,7,1537747.0,1290749.6666666667
4407,8,1574295.3333333333,1325430.0
4407,9,1566670.0,1312327.0
4407,10,1601034.3333333333,1323945.0
4407,11,1479317.6666666667,1230114.0
4407,12,1485400.3333333333,1255054.3333333333
4409,1,706074.4166666666,467691.4166666667
4409,2,636104.8333333334,414257.8333333334
4409,3,743222.0833333334,470152.4166666667
4409,4,704592.4166666666,448163.6666666667
4409,5,760133.8333333334,499094.3333333333
4409,6,704480.75,463719.9166666666
4409,7,662294.9166666666,435504.8333333333
4409,8,661653.6666666666,433093.8333333333
4409,9,692096.75,446612.0833333333
4409,10,761494.3333333334,499840.9166666667
4409,11,715933.8333333334,462511.5833333334
4409,12,693115.0833333334,467442.9166666667
4410,1,735251.0,395629.0
4410,2,701143.6666666666,373639.0
4410,3,800935.3333333333,425014.0
4410,4,758623.3333333334,403629.6666666667
4410,5,807565.0,423149.3333333333
4410,6,774866.6666666666,413308.0
4410,7,755714.6666666666,407209.0
4410,8,777742.0,412978.3333333333
4410,9,768082.3333333334,401948.6666666667
4410,10,840525.3333333334,434980.3333333333
4410,11,759830.6666666666,403838.3333333333
4410,12,710291.6666666666,376841.6666666666
4412,1,2693577.6666666665,2100978.3333333335
4412,2,2545579.6666666665,1975604.3333333333
4412,3,2929754.3333333335,2264439.0
4412,4,2848376.3333333335,2211936.0
4412,5,3102914.0,2387416.333333333
4412,6,2902631.0,2198590.6666666665
4412,7,2724057.333333333,2106208.3333333335
4412,8,2834108.0,2219171.0
4412,9,2844815.3333333335,2214748.6666666665
4412,10,3099722.6666666665,2385278.0
4412,11,2830129.6666666665,2211861.6666666665
4412,12,2743564.6666666665,2138485.3333333335
4414,1,483111.3333333333,489596.6666666666
4414,2,451975.3333333333,452635.3333333334
4414,3,510856.3333333333,510705.6666666667
4414,4,500401.3333333334,507017.0
4414,5,544002.6666666666,544958.0
4414,6,571447.0,554453.3333333334
4414,7,603114.3333333333,579920.3333333334
4414,8,583784.0,567786.0
4414,9,534127.3333333334,524282.6666666666
4414,10,554980.0,548244.3333333333
4414,11,504692.6666666667,498407.3333333333
4414,12,477272.3333333333,472606.0
