complex_id,year,month,period,day_group,ridership,omny_pct
204,2020,7,2020-07-01,weekday,21917.0,0.0
204,2020,7,2020-07-01,weekend,9047.0,0.0
205,2020,7,2020-07-01,total,21204.0,0.0
205,2020,7,2020-07-01,weekday,16629.0,0.0
205,2020,7,2020-07-01,weekend,4575.0,0.0
206,2020,7,2020-07-01,total,7595.0,0.0
206,2020,7,2020-07-01,weekday,6195.0,0.0
206,2020,7,2020-07-01,weekend,1400.0,0.0
207,2020,7,2020-07-01,total,10043.0,0.0
207,2020,7,2020-07-01,weekday,7895.0,0.0
207,2020,7,2020-07-01,weekend,2148.0,0.0
208,2020,7,2020-07-01,total,16446.0,0.0
208,2020,7,2020-07-01,weekday,13572.0,0.0
208,2020,7,2020-07-01,weekend,2874.0,0.0
209,2020,7,2020-07-01,total,47604.0,0.0
209,2020,7,2020-07-01,weekday,39891.0,0.0
209,2020,7,2020-07-01,weekend,7713.0,0.0
210,2020,7,2020-07-01,total,86014.0,6.04
210,2020,7,2020-07-01,weekday,70959.0,5.87
210,2020,7,2020-07-01,weekend,15055.0,6.81
211,2020,7,2020-07-01,total,58771.0,4.61
211,2020,7,2020-07-01,weekday,48973.0,4.36
211,2020,7,2020-07-01,weekend,9798.0,5.87
212,2020,7,2020-07-01,total,72443.0,6.79
212,2020,7,2020-07-01,weekday,60169.0,6.52
212,2020,7,2020-07-01,weekend,12274.0,8.07
213,2020,7,2020-07-01,total,100986.0,6.24
213,2020,7,2020-07-01,weekday,82869.0,6.01
213,2020,7,2020-07-01,weekend,18117.0,7.3
214,2020,7,2020-07-01,total,44740.0,6.86
214,2020,7,2020-07-01,weekday,37598.0,6.62
214,2020,7,2020-07-01,weekend,7142.0,8.15
215,2020,7,2020-07-01,total,86095.0,6.35
215,2020,7,2020-07-01,weekday,71644.0,6.12
215,2020,7,2020-07-01,weekend,14451.0,7.49
216,2020,7,2020-07-01,total,48417.0,5.86
