complex_id,station_name,year,month,entries,exits
6,"39 Av-Dutch Kills (N,W)",2019,6,66964.0,67643.0
6,"39 Av-Dutch Kills (N,W)",2019,7,65075.0,69465.0
6,"39 Av-Dutch Kills (N,W)",2019,8,77273.0,71672.0
6,"39 Av-Dutch Kills (N,W)",2019,9,78559.0,83347.0
6,"39 Av-Dutch Kills (N,W)",2019,10,79816.0,81225.0
6,"39 Av-Dutch Kills (N,W)",2019,11,77225.0,83765.0
6,"39 Av-Dutch Kills (N,W)",2019,12,83864.0,88820.0
8,"5 Av/59 St (N,R,W)",2015,1,438254.0,330424.0
8,"5 Av/59 St (N,R,W)",2015,2,414742.0,317348.0
8,"5 Av/59 St (N,R,W)",2015,3,499502.0,375487.0
8,"5 Av/59 St (N,R,W)",2015,4,503984.0,366157.0
8,"5 Av/59 St (N,R,W)",2015,5,555891.0,378604.0
8,"5 Av/59 St (N,R,W)",2015,6,548622.0,389083.0
8,"5 Av/59 St (N,R,W)",2015,7,528998.0,386330.0
8,"5 Av/59 St (N,R,W)",2015,8,493036.0,359771.0
8,"5 Av/59 St (N,R,W)",2015,9,499952.0,361969.0
8,"5 Av/59 St (N,R,W)",2015,10,537550.0,385021.0
8,"5 Av/59 St (N,R,W)",2015,11,483239.0,354340.0
8,"5 Av/59 St (N,R,W)",2015,12,530877.0,386941.0
8,"5 Av/59 St (N,R,W)",2016,1,418805.0,303965.0
8,"5 Av/59 St (N,R,W)",2016,2,411864.0,293713.0
8,"5 Av/59 St (N,R,W)",2016,3,464311.0,330481.0
8,"5 Av/59 St (N,R,W)",2016,4,484772.0,343566.0
8,"5 Av/59 St (N,R,W)",2016,5,508890.0,350340.0
8,"5 Av/59 St (N,R,W)",2016,6,527925.0,363524.0
8,"5 Av/59 St (N,R,W)",2016,7,520492.0,364543.0
8,"5 Av/59 St (N,R,W)",2016,8,542774.0,378501.0
8,"5 Av/59 St (N,R,W)",2016,9,520724.0,359200.0
8,"5 Av/59 St (N,R,W)",2016,10,527027.0,365011.0
8,"5 Av/59 St (N,R,W)",2016,11,501470.0,352782.0
8,"5 Av/59 St (N,R,W)",2016,12,512225.0,359488.0
8,"5 Av/59 St (N,R,W)",2017,1,431658.0,303912.0
8,"5 Av/59 St (N,R,W)",2017,2,396170.0,278883.0
8,"5 Av/59 St (N,R,W)",2017,3,438670.0,314863.0
8,"5 Av/59 St (N,R,W)",2017,4,471324.0,323055.0
8,"5 Av/59 St (N,R,W)",2017,5,472209.0,320146.0
